route	tier	roles	resolver	expected_status	swept_1280	swept_390	notes
/	A	anon	—	200	—	—	
/about	B	anon	—	200	—	—	
/account	B	consumer	—	200	—	—	
/account/addresses	B	consumer	—	200	—	—	
/account/following	B	consumer	—	200	—	—	
/account/notifications	B	consumer	—	200	—	—	
/account/orders	B	consumer	—	200	—	—	
/account/orders/[id]	A	consumer	seed:order	200	—	—	
/account/profile	B	consumer	—	200	—	—	
/account/referrals	B	consumer	—	200	—	—	
/account/reviews	B	consumer	—	200	—	—	
/account/subscriptions	A	consumer	—	200	—	—	
/account/wishlist	B	consumer	—	200	—	—	
/admin	B	admin	—	200	—	—	
/admin/analytics	B	admin	—	200	—	—	
/admin/catalog	B	admin	—	200	—	—	
/admin/catalog/[id]	B	admin	seed:product	200	—	—	
/admin/catalog/reviews	B	admin	—	200	—	—	
/admin/collections	B	admin	—	200	—	—	
/admin/collections/[id]	B	admin	seed:collection	200	—	—	
/admin/collections/new	B	admin	—	200	—	—	
/admin/collections/occasions	B	admin	—	200	—	—	
/admin/collections/promo	B	admin	—	200	—	—	
/admin/corporate	B	admin	—	200	—	—	
/admin/corporate/[id]	B	admin	seed:inquiry	200	—	—	
/admin/login	B	anon	—	200	—	—	
/admin/orders	B	admin	—	200	—	—	
/admin/orders/[type]/[id]	B	admin	seed:order (two segments)	200	—	—	
/admin/payouts	A	admin	—	200	—	—	
/admin/sellers	A	admin	—	200	—	—	
/admin/settings	B	admin	—	200	—	—	
/admin/support	A	admin	—	200	—	—	
/admin/users	B	admin	—	200	—	—	
/admin/users/[id]	B	admin	seed:user	200	—	—	
/admin/wallet	B	admin	—	200	—	—	
/admin/wallet/[userId]	B	admin	seed:user	200	—	—	
/app-promo	B	anon	—	200	—	—	
/cart	A	anon,consumer	—	200	—	—	
/checkout	A	anon,consumer	—	200	—	—	needs a seeded cart or it renders the empty branch forever
/collections	A	anon	—	200	—	—	
/collections/[occasion]	B	anon	seed:occasion	200	—	—	
/contact	B	anon	—	200	—	—	
/corporate	B	anon	—	200	—	—	
/corporate/quote/[token]	A	anon	mint:qa-up.sh	200	—	—	token stored only as a hash — must be minted per run
/forgot-password	B	anon	—	200	—	—	
/gallery	B	anon	—	404	—	—	EXPECTED_404 in production build only; 200 in dev
/gifts	B	anon	—	200	—	—	
/guides/[slug]	B	anon	seed:collection	200	—	—	
/hamper	B	anon	—	200	—	—	
/laundry	B	anon	—	404	—	—	EXPECTED_404 — withdrawn M19
/login	A	anon	—	200	—	—	
/meal-plans	B	anon	—	200	—	—	
/meal-plans/[slug]	A	anon	seed:meal-plans	200	—	—	
/privacy	B	anon	—	200	—	—	
/product/[slug]	A	anon	seed:product	200	—	—	
/refunds	B	anon	—	200	—	—	
/reset-password	B	anon	—	200	—	—	
/search	A	anon	—	200	—	—	
/sell	A	anon	—	200	—	—	
/seller	B	seller	—	200	—	—	
/seller/analytics	B	seller	—	200	—	—	
/seller/listings	A	seller	—	200	—	—	
/seller/listings/[id]	B	seller	seed:own-listing	200	—	—	
/seller/listings/new	A	seller	—	200	—	—	
/seller/login	B	anon	—	200	—	—	
/seller/meal-plans	B	seller	—	200	—	—	
/seller/meal-plans/[id]	B	seller	seed:own-plan	200	—	—	
/seller/meal-plans/deliveries	B	seller	—	200	—	—	
/seller/meal-plans/new	B	seller	—	200	—	—	
/seller/menu	B	seller	—	200	—	—	
/seller/menu/[id]	B	seller	seed:own-snack	200	—	—	
/seller/menu/new	B	seller	—	200	—	—	
/seller/orders	A	seller	—	200	—	—	
/seller/orders/[id]	B	seller	seed:own-order	200	—	—	
/seller/payouts	A	seller	—	200	—	—	
/seller/pickups	B	seller	—	200	—	—	
/seller/pickups/[id]	B	seller	seed:own-pickup	200	—	—	
/seller/profile	B	seller	—	200	—	—	
/seller/reviews	B	seller	—	200	—	—	
/seller/storefront	B	seller	—	200	—	—	
/shop	A	anon	—	200	—	—	
/signup	B	anon	—	200	—	—	
/snacks	A	anon	—	200	—	—	
/storefront/[vendor]	A	anon	seed:vendor	200	—	—	
/support	B	anon	—	200	—	—	
/terms	B	anon	—	200	—	—	
/wallet	A	consumer	—	200	—	—	
